"code","socialstyrelsen","newsworthy","type","cldr"
"1440","Ale","Ale kommun","municipality","se1440"
"1489","Alingsås","Alingsås kommun","municipality","se1489"
"0765","Älmhult","Älmhults kommun","municipality","se0765"
"2039","Älvdalen","Älvdalens kommun","municipality","se2039"
"0764","Alvesta","Alvesta kommun","municipality","se0764"
"0319","Älvkarleby","Älvkarleby kommun","municipality","se0319"
"2560","Älvsbyn","Älvsbyns kommun","municipality","se2560"
"1492","Åmål","Åmåls kommun","municipality","se1492"
"0604","Aneby","Aneby kommun","municipality","se0604"
"2260","Ånge","Ånge kommun","municipality","se2260"
"1292","Ängelholm","Ängelholms kommun","municipality","se1292"
"1984","Arboga","Arboga kommun","municipality","se1984"
"2321","Åre","Åre kommun","municipality","se2321"
"1765","Årjäng","Årjängs kommun","municipality","se1765"
"2506","Arjeplog","Arjeplogs kommun","municipality","se2506"
"2505","Arvidsjaur","Arvidsjaurs kommun","municipality","se2505"
"1784","Arvika","Arvika kommun","municipality","se1784"
"2463","Åsele","Åsele kommun","municipality","se2463"
"1882","Askersund","Askersunds kommun","municipality","se1882"
"1277","Åstorp","Åstorps kommun","municipality","se1277"
"0561","Åtvidaberg","Åtvidabergs kommun","municipality","se0561"
"2084","Avesta","Avesta kommun","municipality","se2084"
"1278","Båstad","Båstads kommun","municipality","se1278"
"1460","Bengtsfors","Bengtsfors kommun","municipality","se1460"
"2326","Berg","Bergs kommun","municipality","se2326"
"2403","Bjurholm","Bjurholms kommun","municipality","se2403"
"1260","Bjuv","Bjuvs kommun","municipality","se1260"
"2582","Boden","Bodens kommun","municipality","se2582"
"1443","Bollebygd","Bollebygds kommun","municipality","se1443"
"2183","Bollnäs","Bollnäs kommun","municipality","se2183"
"1490","Borås","Borås kommun","municipality","se1490"
"0885","Borgholm","Borgholms kommun","municipality","se0885"
"2081","Borlänge","Borlänge kommun","municipality","se2081"
"0127","Botkyrka","Botkyrka kommun","municipality","se0127"
"0560","Boxholm","Boxholms kommun","municipality","se0560"
"2305","Bräcke","Bräcke kommun","municipality","se2305"
"1272","Bromölla","Bromölla kommun","municipality","se1272"
"1231","Burlöv","Burlövs kommun","municipality","se1231"
"1438","Dals-Ed","Dals-Eds kommun","municipality","se1438"
"0162","Danderyd","Danderyds kommun","municipality","se0162"
"1862","Degerfors","Degerfors kommun","municipality","se1862"
"2425","Dorotea","Dorotea kommun","municipality","se2425"
"1730","Eda","Eda kommun","municipality","se1730"
"0125","Ekerö","Ekerö kommun","municipality","se0125"
"0686","Eksjö","Eksjö kommun","municipality","se0686"
"0862","Emmaboda","Emmaboda kommun","municipality","se0862"
"0381","Enköping","Enköpings kommun","municipality","se0381"
"0484","Eskilstuna","Eskilstuna kommun","municipality","se0484"
"1285","Eslöv","Eslövs kommun","municipality","se1285"
"1445","Essunga","Essunga kommun","municipality","se1445"
"1982","Fagersta","Fagersta kommun","municipality","se1982"
"1382","Falkenberg","Falkenbergs kommun","municipality","se1382"
"1499","Falköping","Falköpings kommun","municipality","se1499"
"2080","Falun","Falu kommun","municipality","se2080"
"1439","Färgelanda","Färgelanda kommun","municipality","se1439"
"1782","Filipstad","Filipstads kommun","municipality","se1782"
"0562","Finspång","Finspångs kommun","municipality","se0562"
"0482","Flen","Flens kommun","municipality","se0482"
"1763","Forshaga","Forshaga kommun","municipality","se1763"
"2026","Gagnef","Gagnefs kommun","municipality","se2026"
"2523","Gällivare","Gällivare kommun","municipality","se2523"
"2180","Gävle","Gävle kommun","municipality","se2180"
"0662","Gislaved","Gislaveds kommun","municipality","se0662"
"0461","Gnesta","Gnesta kommun","municipality","se0461"
"0617","Gnosjö","Gnosjö kommun","municipality","se0617"
"1480","Göteborg","Göteborgs kommun","municipality","se1480"
"1471","Götene","Götene kommun","municipality","se1471"
"0980","Gotland","Region Gotland","municipality","se0980"
"1444","Grästorp","Grästorps kommun","municipality","se1444"
"1764","Grums","Grums kommun","municipality","se1764"
"1447","Gullspång","Gullspångs kommun","municipality","se1447"
"0643","Habo","Habo kommun","municipality","se0643"
"0305","Håbo","Håbo kommun","municipality","se0305"
"1783","Hagfors","Hagfors kommun","municipality","se1783"
"1863","Hällefors","Hällefors kommun","municipality","se1863"
"1861","Hallsberg","Hallsbergs kommun","municipality","se1861"
"1961","Hallstahammar","Hallstahammars kommun","municipality","se1961"
"1380","Halmstad","Halmstads kommun","municipality","se1380"
"1761","Hammarö","Hammarö kommun","municipality","se1761"
"0136","Haninge","Haninge kommun","municipality","se0136"
"2583","Haparanda","Haparanda kommun","municipality","se2583"
"2361","Härjedalen","Härjedalens kommun","municipality","se2361"
"2280","Härnösand","Härnösands kommun","municipality","se2280"
"1401","Härryda","Härryda kommun","municipality","se1401"
"1293","Hässleholm","Hässleholms kommun","municipality","se1293"
"0331","Heby","Heby kommun","municipality","se0331"
"2083","Hedemora","Hedemora kommun","municipality","se2083"
"1283","Helsingborg","Helsingborgs kommun","municipality","se1283"
"1466","Herrljunga","Herrljunga kommun","municipality","se1466"
"1497","Hjo","Hjo kommun","municipality","se1497"
"2104","Hofors","Hofors kommun","municipality","se2104"
"1284","Höganäs","Höganäs kommun","municipality","se1284"
"0821","Högsby","Högsby kommun","municipality","se0821"
